chart,layout,mode,seed,learning_rate,batch_size,microbatch_count,mb_size,world_size,nodes,tasks_per_node,train_samples,val_samples,hidden_layers,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_ms
4,1x2_ws2,serial,42,1.92,4096,0,0,2,1,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.098,37216
4,1x2_ws2,serial,42,1.92,4096,0,0,2,1,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.098,36980
4,2x2_ws4,serial,42,1.92,4096,0,0,4,1,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.098,37216
4,2x2_ws4,serial,42,1.92,4096,0,0,4,1,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.098,36980
4,3x2_ws6,serial,42,1.92,4096,0,0,6,1,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.098,37216
4,3x2_ws6,serial,42,1.92,4096,0,0,6,1,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.098,36980
4,4x2_ws8,serial,42,1.92,4096,0,0,8,1,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.098,37216
4,4x2_ws8,serial,42,1.92,4096,0,0,8,1,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.098,36980
4,1x2_ws2,mpi-mp,42,1.92,4096,0,0,2,1,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,72267
4,1x2_ws2,mpi-mp,42,1.92,4096,0,0,2,1,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,72010
4,1x2_ws2,mpi-mp-pip,42,1.92,4096,32,128,2,1,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,83866
4,1x2_ws2,mpi-mp-pip,42,1.92,4096,32,128,2,1,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,83608
4,1x2_ws2,mpi-mp-pip-balanced,42,1.92,4096,32,128,2,1,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,82121
4,1x2_ws2,mpi-mp-pip-balanced,42,1.92,4096,32,128,2,1,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,81815
4,2x2_ws4,mpi-mp,42,1.92,4096,0,0,4,2,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,73032
4,2x2_ws4,mpi-mp,42,1.92,4096,0,0,4,2,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,72614
4,2x2_ws4,mpi-mp-pip,42,1.92,4096,32,128,4,2,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,81249
4,2x2_ws4,mpi-mp-pip,42,1.92,4096,32,128,4,2,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,80818
4,2x2_ws4,mpi-mp-pip-balanced,42,1.92,4096,32,128,4,2,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,77835
4,2x2_ws4,mpi-mp-pip-balanced,42,1.92,4096,32,128,4,2,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,77469
4,3x2_ws6,mpi-mp,42,1.92,4096,0,0,6,3,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,72958
4,3x2_ws6,mpi-mp,42,1.92,4096,0,0,6,3,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,72567
4,3x2_ws6,mpi-mp-pip,42,1.92,4096,32,128,6,3,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,79709
4,3x2_ws6,mpi-mp-pip,42,1.92,4096,32,128,6,3,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,79293
4,3x2_ws6,mpi-mp-pip-balanced,42,1.92,4096,32,128,6,3,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,74814
4,3x2_ws6,mpi-mp-pip-balanced,42,1.92,4096,32,128,6,3,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,74431
4,4x2_ws8,mpi-mp,42,1.92,4096,0,0,8,4,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,73157
4,4x2_ws8,mpi-mp,42,1.92,4096,0,0,8,4,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,72775
4,4x2_ws8,mpi-mp-pip,42,1.92,4096,32,128,8,4,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,71931
4,4x2_ws8,mpi-mp-pip,42,1.92,4096,32,128,8,4,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,71591
4,4x2_ws8,mpi-mp-pip-balanced,42,1.92,4096,32,128,8,4,2,50000,10000,512-512-256-256-128-64-32,1,nan,0.100911,nan,0.0983887,71937
4,4x2_ws8,mpi-mp-pip-balanced,42,1.92,4096,32,128,8,4,2,50000,10000,512-512-256-256-128-64-32,2,nan,0.0990601,nan,0.0983887,71578
